trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
626,False,"{'a': 0.5, 'e': 0.3134237637773555}",25,0,-5.818210971539858,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
627,False,"{'a': 0.5, 'e': 0.31152391146480507}",25,9,15.577529225164525,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
628,False,"{'a': 0.5, 'e': 0.3096228130570242}",25,0,26.627340310313443,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
629,False,"{'a': 0.5, 'e': 0.3077204761584039}",25,10,-9.535873099725741,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
630,False,"{'a': 0.5, 'e': 0.3058169083782893}",30,12,19.9563528967189,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
631,False,"{'a': 0.5, 'e': 0.3039121173309489}",20,9,-4.845823510557245,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
632,False,"{'a': 0.5, 'e': 0.30200611063554444}",25,10,13.809297302195096,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
633,False,"{'a': 0.5, 'e': 0.3000988959161001}",25,0,3.617167863518775,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
634,False,"{'a': 0.5, 'e': 0.2981904808014722}",30,7,-5.940283167721376,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 1}",1
635,False,"{'a': 0.5, 'e': 0.2962808729253187}",20,14,-8.359728897212204,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
636,False,"{'a': 0.5, 'e': 0.29437007992606856}",20,8,20.139551914981162,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.5, 'e': 0.29245810944689116}",25,14,-12.87913261906226,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
638,False,"{'a': 0.5, 'e': 0.29054496913566596}",20,3,-40.50991825303289,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
639,False,"{'a': 0.5, 'e': 0.2886306666449516}",20,14,8.97683998276978,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.5, 'e': 0.28671520963195546}",20,0,-30.823336104667543,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
641,False,"{'a': 0.5, 'e': 0.28479860575850313}",25,13,2.289483143819136,"{0: 10, 1: 1, 2: 1, 3: 0, 4: 0}",1
642,False,"{'a': 0.5, 'e': 0.2828808626910075}",25,0,3.1976574999383383,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
643,False,"{'a': 0.5, 'e': 0.28096198810043826}",20,11,19.930610009974014,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.5, 'e': 0.2790419896622912}",30,17,7.774915561998567,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
645,False,"{'a': 0.5, 'e': 0.2771208750565576}",30,14,-40.58811998660893,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
646,False,"{'a': 0.5, 'e': 0.2751986519676933}",20,0,-13.567744419065518,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
647,False,"{'a': 0.5, 'e': 0.273275328084588}",25,19,-12.811180143457019,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
648,False,"{'a': 0.5, 'e': 0.2713509111005347}",20,10,19.826787670339453,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
649,False,"{'a': 0.5, 'e': 0.26942540871319887}",20,0,-24.082229641528123,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
650,False,"{'a': 0.5, 'e': 0.26749882862458735}",20,11,4.936398859729152,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
651,False,"{'a': 0.5, 'e': 0.265571178541018}",20,7,0.2682545456873613,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
652,False,"{'a': 0.5, 'e': 0.2636424661730887}",20,5,-8.04974768580938,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
653,False,"{'a': 0.5, 'e': 0.2617126992356461}",20,3,15.29695333413845,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
654,False,"{'a': 0.5, 'e': 0.25978188544775555}",25,5,12.90435411477126,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
